# Species	Genes	Alg.-Conn.	GCA_040366825.1.faa	GCA_040367275.1.faa	GCA_040368535.1.faa	GCA_040369685.1.faa	GCA_040370845.1.faa	GCA_040371445.1.faa	GCA_040372445.1.faa	GCA_040373035.1.faa	GCA_040373105.1.faa	GCA_040373215.1.faa	GCA_040373345.1.faa	GCA_040374935.1.faa	GCA_040377535.1.faa	GCA_040380425.1.faa	GCA_040383235.1.faa	GCA_040385865.1.faa	GCA_040388595.1.faa	GCA_040391575.1.faa	GCA_040394165.1.faa	GCA_040397295.1.faa	GCA_040400385.1.faa	GCA_040403735.1.faa	GCA_040404325.1.faa	GCA_040404335.1.faa	GCA_040404365.1.faa	GCA_040404415.1.faa	GCA_040404485.1.faa	GCA_040404575.1.faa	GCA_040404645.1.faa
29	87	0.224	XCB74933.1,XCB75932.1,XCB74639.1	XCB77013.1,XCB76717.1,XCB77999.1	XCB78703.1,XCB78993.1,XCB79986.1	XCB81979.1,XCB80984.1,XCB80688.1	XCB83033.1,XCB84040.1,XCB82741.1	XCB84778.1,XCB85069.1,XCB86065.1	XCB87083.1,XCB87988.1,XCB86706.1	XCB90202.1,XCB88923.1,XCB89120.1	XCB90846.1,XCB91137.1,XCB92134.1	XCB93127.1,XCB94043.1,XCB92753.1	XCB95147.1,XCB94852.1,XCB96150.1	XCB98291.1,XCB97006.1,XCB97541.1	XCB98898.1,XCB99192.1,XCC00179.1	XCC02227.1,XCC01229.1,XCC00932.1	XCC03306.1,XCC04206.1,XCC02863.1	XCC04966.1,XCC05330.1,XCC06236.1	XCC07353.1,XCC07059.1,XCC08346.1	XCC09398.1,XCC10393.1,XCC09103.1	XCC11524.1,XCC11135.1,XCC12421.1	XCC13477.1,XCC13183.1,XCC14482.1	XCC15587.1,XCC16584.1,XCC15307.1	XCC17340.1,XCC18616.1,XCC17633.1	XCC20527.1,XCC19242.1,XCC19624.1	XCC21601.1,XCC22597.1,XCC21319.1	XCC23301.1,XCC23676.1,XCC24573.1	XCC25661.1,XCC27105.1,XCC26581.1	XCC29124.1,XCC27668.1,XCC28611.1	XCC29709.1,XCC30626.1,XCC29334.1	XCC31775.1,XCC31359.1,XCC32697.1
29	87	0.224	XCB74934.1,XCB75933.1,XCB74638.1	XCB77014.1,XCB76716.1,XCB78000.1	XCB78702.1,XCB78994.1,XCB79987.1	XCB81980.1,XCB80985.1,XCB80687.1	XCB83034.1,XCB84041.1,XCB82740.1	XCB84777.1,XCB85070.1,XCB86066.1	XCB87084.1,XCB87989.1,XCB86705.1	XCB90203.1,XCB88922.1,XCB89121.1	XCB90845.1,XCB91138.1,XCB92135.1	XCB93128.1,XCB94044.1,XCB92752.1	XCB95148.1,XCB94851.1,XCB96151.1	XCB98292.1,XCB97005.1,XCB97540.1	XCB98897.1,XCB99193.1,XCC00180.1	XCC02228.1,XCC01230.1,XCC00931.1	XCC03307.1,XCC04207.1,XCC02862.1	XCC04965.1,XCC05331.1,XCC06237.1	XCC07354.1,XCC07058.1,XCC08347.1	XCC09399.1,XCC10394.1,XCC09102.1	XCC11525.1,XCC11134.1,XCC12422.1	XCC13478.1,XCC13182.1,XCC14483.1	XCC15588.1,XCC16585.1,XCC15306.1	XCC17339.1,XCC18617.1,XCC17634.1	XCC20528.1,XCC19241.1,XCC19625.1	XCC21602.1,XCC22598.1,XCC21318.1	XCC23300.1,XCC23677.1,XCC24574.1	XCC25662.1,XCC27104.1,XCC26582.1	XCC29123.1,XCC27669.1,XCC28612.1	XCC29710.1,XCC30627.1,XCC29333.1	XCC31776.1,XCC31358.1,XCC32698.1
29	87	0.224	XCB74935.1,XCB75934.1,XCB74637.1	XCB77015.1,XCB76715.1,XCB78001.1	XCB78701.1,XCB78995.1,XCB79988.1	XCB81981.1,XCB80986.1,XCB80686.1	XCB83035.1,XCB84042.1,XCB82739.1	XCB84776.1,XCB85071.1,XCB86067.1	XCB87085.1,XCB87990.1,XCB86704.1	XCB90204.1,XCB88921.1,XCB89122.1	XCB90844.1,XCB91139.1,XCB92136.1	XCB93129.1,XCB94045.1,XCB92751.1	XCB95149.1,XCB94850.1,XCB96152.1	XCB98293.1,XCB97004.1,XCB97539.1	XCB98896.1,XCB99194.1,XCC00181.1	XCC02229.1,XCC01231.1,XCC00930.1	XCC03308.1,XCC04208.1,XCC02861.1	XCC04964.1,XCC05332.1,XCC06238.1	XCC07355.1,XCC07057.1,XCC08348.1	XCC09400.1,XCC10395.1,XCC09101.1	XCC11526.1,XCC11133.1,XCC12423.1	XCC13479.1,XCC13181.1,XCC14484.1	XCC15589.1,XCC16586.1,XCC15305.1	XCC17338.1,XCC18618.1,XCC17635.1	XCC20529.1,XCC19240.1,XCC19626.1	XCC21603.1,XCC22599.1,XCC21317.1	XCC23299.1,XCC23678.1,XCC24575.1	XCC25663.1,XCC27103.1,XCC26583.1	XCC29122.1,XCC27670.1,XCC28613.1	XCC29711.1,XCC30628.1,XCC29332.1	XCC31777.1,XCC31357.1,XCC32699.1
29	87	0.224	XCB74936.1,XCB75935.1,XCB74636.1	XCB77016.1,XCB76714.1,XCB78002.1	XCB78700.1,XCB78996.1,XCB79989.1	XCB81982.1,XCB80987.1,XCB80685.1	XCB83036.1,XCB84043.1,XCB82738.1	XCB84775.1,XCB85072.1,XCB86068.1	XCB87086.1,XCB87991.1,XCB86703.1	XCB90205.1,XCB88920.1,XCB89123.1	XCB90843.1,XCB91140.1,XCB92137.1	XCB93130.1,XCB94046.1,XCB92750.1	XCB95150.1,XCB94849.1,XCB96153.1	XCB98294.1,XCB97003.1,XCB97538.1	XCB98895.1,XCB99195.1,XCC00182.1	XCC02230.1,XCC01232.1,XCC00929.1	XCC03309.1,XCC04209.1,XCC02860.1	XCC04963.1,XCC05333.1,XCC06239.1	XCC07356.1,XCC07056.1,XCC08349.1	XCC09401.1,XCC10396.1,XCC09100.1	XCC11527.1,XCC11132.1,XCC12424.1	XCC13480.1,XCC13180.1,XCC14485.1	XCC15590.1,XCC16587.1,XCC15304.1	XCC17337.1,XCC18619.1,XCC17636.1	XCC20530.1,XCC19239.1,XCC19627.1	XCC21604.1,XCC22600.1,XCC21316.1	XCC23298.1,XCC23679.1,XCC24576.1	XCC25664.1,XCC27102.1,XCC26584.1	XCC29121.1,XCC27671.1,XCC28614.1	XCC29712.1,XCC30629.1,XCC29331.1	XCC31778.1,XCC31356.1,XCC32700.1
29	87	0.212	XCB74984.1,XCB74963.1,XCB74653.1	XCB77707.1,XCB77044.1,XCB76731.1	XCB78716.1,XCB79044.1,XCB79023.1	XCB81016.1,XCB81049.1,XCB80701.1	XCB83063.1,XCB83097.1,XCB82752.1	XCB85119.1,XCB85098.1,XCB84790.1	XCB86720.1,XCB86806.1,XCB87107.1	XCB90189.1,XCB89163.1,XCB89145.1	XCB91188.1,XCB91167.1,XCB90859.1	XCB92766.1,XCB92850.1,XCB93159.1	XCB95198.1,XCB95177.1,XCB94864.1	XCB98196.1,XCB98277.1,XCB97510.1	XCB99241.1,XCB98911.1,XCB99220.1	XCC01912.1,XCC01934.1,XCC01216.1	XCC02896.1,XCC02984.1,XCC02877.1	XCC05061.1,XCC05360.1,XCC04978.1	XCC07383.1,XCC07417.1,XCC07071.1	XCC09449.1,XCC09428.1,XCC09116.1	XCC11146.1,XCC11251.1,XCC11554.1	XCC13508.1,XCC13595.1,XCC13195.1	XCC15640.1,XCC15619.1,XCC15320.1	XCC17679.1,XCC17659.1,XCC17351.1	XCC19341.1,XCC19653.1,XCC19256.1	XCC21651.1,XCC21631.1,XCC21331.1	XCC23707.1,XCC23401.1,XCC23315.1	XCC25295.1,XCC25379.1,XCC25694.1	XCC27422.1,XCC27698.1,XCC27336.1	XCC29431.1,XCC29347.1,XCC29740.1	XCC31373.1,XCC31804.1,XCC31457.1
29	87	0.179	XCB74938.1,XCB75937.1,XCB74634.1	XCB77018.1,XCB78004.1,XCB76712.1	XCB78698.1,XCB78998.1,XCB79991.1	XCB81984.1,XCB80989.1,XCB80683.1	XCB83038.1,XCB84045.1,XCB82736.1	XCB84773.1,XCB85074.1,XCB86070.1	XCB87088.1,XCB87993.1,XCB86701.1	XCB90207.1,XCB88918.1,XCB89125.1	XCB90841.1,XCB91142.1,XCB92139.1	XCB93132.1,XCB94048.1,XCB92748.1	XCB95152.1,XCB96155.1,XCB94847.1	XCB98646.1,XCB97001.1,XCB97536.1	XCB98893.1,XCB99197.1,XCC00184.1	XCC02232.1,XCC01234.1,XCC00927.1	XCC04211.1,XCC04863.1,XCC03311.1	XCC04961.1,XCC05335.1,XCC06241.1	XCC07358.1,XCC07054.1,XCC08351.1	XCC09403.1,XCC10398.1,XCC09098.1	XCC11529.1,XCC11130.1,XCC12426.1	XCC13482.1,XCC13178.1,XCC14487.1	XCC15302.1,XCC15592.1,XCC16589.1	XCC17335.1,XCC18621.1,XCC17638.1	XCC20532.1,XCC19237.1,XCC21136.1	XCC21314.1,XCC21606.1,XCC22602.1	XCC23296.1,XCC25207.1,XCC24578.1	XCC25666.1,XCC27100.1,XCC27128.1	XCC29119.1,XCC27673.1,XCC28616.1	XCC29714.1,XCC29329.1,XCC30631.1	XCC33381.1,XCC31354.1,XCC33286.1
29	86	0.209	XCB74937.1,XCB75936.1,XCB74635.1	XCB77017.1,XCB78003.1,XCB76713.1	XCB78699.1,XCB78997.1,XCB79990.1	XCB81983.1,XCB80988.1,XCB80684.1	XCB83037.1,XCB84044.1,XCB82737.1	XCB84774.1,XCB85073.1,XCB86069.1	XCB87087.1,XCB87992.1,XCB86702.1	XCB90206.1,XCB88919.1,XCB89124.1	XCB90842.1,XCB91141.1,XCB92138.1	XCB94047.1,XCB93131.1,XCB92749.1	XCB95151.1,XCB94848.1,XCB96154.1	XCB98295.1,XCB97002.1,XCB97537.1	XCB98894.1,XCB99196.1,XCC00183.1	XCC02231.1,XCC01233.1,XCC00928.1	XCC04210.1,XCC02859.1	XCC04962.1,XCC05334.1,XCC06240.1	XCC07357.1,XCC07055.1,XCC08350.1	XCC09402.1,XCC10397.1,XCC09099.1	XCC11528.1,XCC11131.1,XCC12425.1	XCC13481.1,XCC13179.1,XCC14486.1	XCC16588.1,XCC15591.1,XCC15303.1	XCC17637.1,XCC17336.1,XCC18620.1	XCC20531.1,XCC19238.1,XCC19628.1	XCC21605.1,XCC21315.1,XCC22601.1	XCC23297.1,XCC23680.1,XCC24577.1	XCC25665.1,XCC26585.1,XCC27101.1	XCC29120.1,XCC27672.1,XCC28615.1	XCC29713.1,XCC29330.1,XCC30630.1	XCC31779.1,XCC31355.1,XCC32701.1
29	84	0.213	XCB74932.1,XCB75931.1,XCB74640.1	XCB77012.1,XCB76718.1,XCB77998.1	XCB78704.1,XCB78992.1,XCB79985.1	XCB81978.1,XCB80983.1,XCB80689.1	XCB83032.1,XCB84039.1,XCB82742.1	XCB84779.1,XCB85068.1,XCB86064.1	XCB87082.1,XCB87987.1,XCB86707.1	XCB90201.1,XCB88924.1,XCB89119.1	XCB90847.1,XCB91136.1,XCB92133.1	XCB93126.1,XCB94042.1,XCB92754.1	XCB95146.1,XCB96149.1,XCB94853.1	XCB98290.1,XCB97007.1,XCB97542.1	XCB98899.1,XCB99191.1,XCC00178.1	XCC02226.1,XCC01228.1,XCC00933.1	XCC02864.1	XCC04967.1,XCC05329.1,XCC06235.1	XCC07352.1,XCC07060.1,XCC08345.1	XCC09397.1,XCC10392.1,XCC09104.1	XCC11523.1,XCC11136.1,XCC12420.1	XCC13476.1,XCC13184.1,XCC14481.1	XCC15586.1,XCC16583.1,XCC15308.1	XCC17341.1,XCC18615.1,XCC17632.1	XCC20526.1,XCC19243.1,XCC19623.1	XCC21600.1,XCC22596.1,XCC21320.1	XCC23302.1,XCC23675.1,XCC24572.1	XCC25660.1,XCC27106.1,XCC26580.1	XCC29125.1,XCC27667.1,XCC28610.1	XCC29708.1,XCC29335.1	XCC31774.1,XCC31360.1,XCC32696.1
29	82	0.243	XCB74960.1,XCB74981.1,XCB74650.1	XCB77041.1,XCB76728.1,XCB78458.1	XCB78713.1,XCB79041.1	XCB81013.1,XCB81046.1,XCB80698.1	XCB83060.1,XCB83094.1,XCB82749.1	XCB85116.1,XCB85095.1,XCB84787.1	XCB86717.1,XCB86803.1	XCB90192.1,XCB89161.1,XCB89143.1	XCB91185.1,XCB91164.1,XCB90856.1	XCB93157.1,XCB92764.1,XCB92847.1	XCB95195.1,XCB95174.1,XCB94861.1	XCB98199.1,XCB98280.1,XCB97513.1	XCB98908.1,XCB99238.1	XCC01915.1,XCC01937.1,XCC01219.1	XCC02893.1,XCC02981.1,XCC02874.1	XCC05059.1,XCC05358.1,XCC04976.1	XCC07380.1,XCC07414.1,XCC07068.1	XCC09425.1,XCC09446.1,XCC09113.1	XCC11143.1,XCC11248.1	XCC13505.1,XCC13592.1,XCC13192.1	XCC15616.1,XCC15637.1,XCC15317.1	XCC19158.1,XCC17677.1,XCC19136.1	XCC19338.1,XCC19650.1,XCC19253.1	XCC21648.1,XCC21628.1,XCC21328.1	XCC23704.1,XCC23312.1,XCC25184.1	XCC25292.1,XCC25691.1,XCC25376.1	XCC27419.1,XCC27695.1,XCC27333.1	XCC29428.1,XCC29344.1	XCC31454.1,XCC31370.1,XCC31801.1
29	81	0.241	XCB74958.1,XCB74979.1,XCB74648.1	XCB77039.1,XCB76726.1,XCB77710.1	XCB78711.1,XCB79039.1	XCB81045.1,XCB81011.1,XCB80697.1	XCB83059.1,XCB83093.1,XCB82748.1	XCB85115.1,XCB85094.1,XCB84786.1	XCB86715.1,XCB86801.1	XCB90194.1,XCB89159.1	XCB91184.1,XCB91163.1,XCB90855.1	XCB93155.1,XCB92762.1,XCB92845.1	XCB95194.1,XCB95173.1,XCB94860.1	XCB98201.1,XCB98282.1,XCB97515.1	XCB98906.1,XCB99236.1	XCC01916.1,XCC01938.1,XCC01220.1	XCC02891.1,XCC02979.1,XCC02872.1	XCC05058.1,XCC05357.1,XCC04975.1	XCC07379.1,XCC07413.1,XCC07067.1	XCC09423.1,XCC09444.1,XCC09111.1	XCC11142.1,XCC11247.1	XCC13504.1,XCC13591.1,XCC13191.1	XCC15614.1,XCC15635.1,XCC15315.1	XCC17656.1,XCC17675.1,XCC17348.1	XCC19336.1,XCC19648.1,XCC19251.1	XCC21647.1,XCC21627.1,XCC21327.1	XCC23702.1,XCC23310.1,XCC23398.1	XCC25291.1,XCC25690.1,XCC25375.1	XCC27417.1,XCC27693.1,XCC27331.1	XCC29426.1,XCC29342.1	XCC31452.1,XCC31368.1,XCC31799.1
